"Track","Artist","Album","Duration","Group Info"
"Wind Of Change","Scorpions","","5:12","Group 41 (genre: Rock/Alternative) - Position 3"
"The First Part","Superchunk","","4:47","Group 42 (genre: Pop/Dance) - Position 1"
"New London boy","Pet Shop Boys","","4:52","Group 42 (genre: Pop/Dance) - Position 2"
"Shake It Up - 2017 Remaster","The Cars","","3:31","Group 42 (genre: Pop/Dance) - Position 3"
"Stayin' Alive - 12 Mix","Happy Mondays","","5:28","Group 43 (genre: Madchester) - Position 1"
"Two Worlds Collide","Inspiral Carpets","","4:38","Group 43 (genre: Madchester) - Position 2"
"Saturn 5","Inspiral Carpets","","3:59","Group 43 (genre: Madchester) - Position 3"
"One Big Holiday","My Morning Jacket","","5:21","Group 44 (pace: Low) - Position 1"
"Can't Believe It's Me","Galaxie 500","","3:55","Group 44 (pace: Low) - Position 2"
"The Motorcycle Song","Arlo Guthrie","","2:50","Group 44 (pace: Low) - Position 3"
"Age of Consent - 2015 Remaster","New Order","","5:15","Group 45 (genre: New Wave) - Position 1"
"One Hundred Years - 2005 Remaster","The Cure","","6:41","Group 45 (genre: New Wave) - Position 2"
"Primary - 2005 Remaster","The Cure","","3:39","Group 45 (genre: New Wave) - Position 3"
"My God Is the Sun","Queens of the Stone Age","","3:55","Group 46 (genre: Rock/Alternative) - Position 1"
"Close to the Edge (I. The Solid Time of Change II. Total Mass Retain III. I Get up I Get Down IV. Seasons of Man)","Yes","","18:38","Group 46 (genre: Rock/Alternative) - Position 2"
"CYR","The Smashing Pumpkins","","4:03","Group 46 (genre: Rock/Alternative) - Position 3"
"Walk On the Wild Side","Lou Reed","","4:14","Group 47 (genre: Rock/Alternative) - Position 1"
"The Refugee - Remastered 2008","U2","","3:40","Group 47 (genre: Rock/Alternative) - Position 2"
"Mayonaise - 2011 Remaster","The Smashing Pumpkins","","5:48","Group 47 (genre: Rock/Alternative) - Position 3"
"So Far Gone","Teenage Fanclub","","3:17","Group 48 (genre: Pop/Dance) - Position 1"
"Chicago","Sufjan Stevens","","6:04","Group 48 (genre: Pop/Dance) - Position 2"
"I Want You to Want Me","Cheap Trick","","3:11","Group 48 (genre: Pop/Dance) - Position 3"
"Thieves like Us - 2020 Digital Master","New Order","","6:38","Group 49 (genre: New Wave) - Position 1"
"I Started Something I Couldn't Finish - 2011 Remaster","The Smiths","","3:47","Group 49 (genre: New Wave) - Position 2"
"Enjoy the Silence","Depeche Mode","","6:12","Group 49 (genre: New Wave) - Position 3"
"There Is a Light That Never Goes Out - 2011 Remaster","The Smiths","","4:04","Group 50 (genre: New Wave) - Position 1"
"Love Action (I Believe In Love)","The Human League","","5:01","Group 50 (genre: New Wave) - Position 2"
"Mirror Man","The Human League","","3:50","Group 50 (genre: New Wave) - Position 3"
"Run's House - Single Version","Run–D.M.C.","","3:44","Group 51 (genre: Hip Hop/Rap) - Position 1"
"We Dem Boyz","Wiz Khalifa","","3:44","Group 51 (genre: Hip Hop/Rap) - Position 2"
"Insane in the Brain","Cypress Hill","","3:28","Group 51 (genre: Hip Hop/Rap) - Position 3"
"Pretty Noose","Soundgarden","","4:11","Group 52 (genre: Grunge) - Position 1"
"Sex Type Thing - 2017 Remaster","Stone Temple Pilots","","3:37","Group 52 (genre: Grunge) - Position 2"
"Going to Town","The Afghan Whigs","","3:16","Group 52 (genre: Grunge) - Position 3"
"Show Me","Pretenders","","4:08","Group 53 (genre: Pop) - Position 1"
"Your Woman","White Town","","4:19","Group 53 (genre: Pop) - Position 2"
"Nervous Breakthrough","Luscious Jackson","","3:47","Group 53 (genre: Pop) - Position 3"
"Birth Ritual","Soundgarden","","6:05","Group 54 (genre: Grunge) - Position 1"
"Porch","Pearl Jam","","3:30","Group 54 (genre: Grunge) - Position 2"
"Dirty Little Thing","Velvet Revolver","","3:56","Group 54 (genre: Grunge) - Position 3"
"Don't Sweat The Technique","Eric B. & Rakim","","4:22","Group 55 (genre: Hip Hop/Rap) - Position 1"
"Runnit Back","LL COOL J","","2:46","Group 55 (genre: Hip Hop/Rap) - Position 2"
"Sing About Me I'm Dying Of Thirst","Kendrick Lamar","","12:03","Group 55 (genre: Hip Hop/Rap) - Position 3"
"Foxey Lady","Jimi Hendrix","","3:18","Group 56 (genre: Rock/Alternative) - Position 1"
"She Sells Sanctuary - Long Version","The Cult","","6:58","Group 56 (genre: Rock/Alternative) - Position 2"
"A Certain Romance","Arctic Monkeys","","5:31","Group 56 (genre: Rock/Alternative) - Position 3"
"Alcoholiday","Teenage Fanclub","","5:26","Group 57 (genre: Pop/Dance) - Position 1"
"I Will Dare","The Replacements","","3:17","Group 57 (genre: Pop/Dance) - Position 2"
"Swingin Party - 2008 Remaster","The Replacements","","3:53","Group 57 (genre: Pop/Dance) - Position 3"
"I Only Said","my bloody valentine","","5:34","Group 58 (genre: Shoegaze) - Position 1"
"The Two Of Us","The Jesus and Mary Chain","","4:12","Group 58 (genre: Shoegaze) - Position 2"
"April Skies","The Jesus and Mary Chain","","4:00","Group 58 (genre: Shoegaze) - Position 3"
"Victoria","The Fall","","2:45","Group 59 (genre: Punk) - Position 1"
"American Music","Violent Femmes","","3:50","Group 59 (genre: Punk) - Position 2"
"Lost in the Supermarket - Remastered","The Clash","","3:46","Group 59 (genre: Punk) - Position 3"
"What Difference Does It Make? - 2011 Remaster","The Smiths","","3:49","Group 60 (genre: New Wave) - Position 1"
"Lips Like Sugar","Echo & the Bunnymen","","4:51","Group 60 (genre: New Wave) - Position 2"
"Send Me An Angel","Real Life","","3:52","Group 60 (genre: New Wave) - Position 3"
"Let Down","Radiohead","","4:59","Group 61 (genre: Rock/Alternative) - Position 1"
"1979 - Remastered 2012","The Smashing Pumpkins","","4:26","Group 61 (genre: Rock/Alternative) - Position 2"
"Lonesome Loser - Remastered 2022","Little River Band","","4:01","Group 61 (genre: Rock/Alternative) - Position 3"
"Fell On Black Days","Soundgarden","","4:43","Group 62 (genre: Grunge) - Position 1"
"Swallow My Pride","Green River","","2:59","Group 62 (genre: Grunge) - Position 2"
"Rearviewmirror - Remastered","Pearl Jam","","4:43","Group 62 (genre: Grunge) - Position 3"
"Head Down","Soundgarden","","6:09","Group 63 (genre: Grunge) - Position 1"
"Unglued","Stone Temple Pilots","","2:34","Group 63 (genre: Grunge) - Position 2"
"Nearly Forgot My Broken Heart","Chris Cornell","","3:54","Group 63 (genre: Grunge) - Position 3"
"Smalltown Boy","Bronski Beat","","5:02","Group 64 (genre: Pop/Dance) - Position 1"
"Use It","The New Pornographers","","3:26","Group 64 (genre: Pop/Dance) - Position 2"
"Streets of Your Town - Remastered","The Go-Betweens","","3:39","Group 64 (genre: Pop/Dance) - Position 3"
"A Girl Like You","The Smithereens","","4:42","Group 65 (genre: Pop/Dance) - Position 1"
"Yuri-G","PJ Harvey","","3:28","Group 65 (genre: Pop/Dance) - Position 2"
"Almost With You - 2002 Remastered","The Church","","4:14","Group 65 (genre: Pop/Dance) - Position 3"
"Turpin Hero","Ewan MacColl","","2:41","Group 66 (genre: Folk) - Position 1"
"Holland 1945","Neutral Milk Hotel","","3:12","Group 66 (genre: Folk) - Position 2"
"Washington D.C.","The Magnetic Fields","","1:53","Group 66 (genre: Folk) - Position 3"
"Smokestack Lightning","Soundgarden","","4:36","Group 67 (genre: Grunge) - Position 1"
"Sour Girl","Stone Temple Pilots","","4:16","Group 67 (genre: Grunge) - Position 2"
"Vasoline - 2019 Remaster","Stone Temple Pilots","","2:56","Group 67 (genre: Grunge) - Position 3"
"Slow Turning","John Hiatt","","3:35","Group 68 (era: 80s) - Position 1"
"Urgent","Foreigner","","4:31","Group 68 (era: 80s) - Position 2"
"I Wanna Be Adored - Remastered 2009","The Stone Roses","","4:52","Group 68 (era: 80s) - Position 3"
"Biafra","Derrick Harriott","","0:02","Group 69 (era: Classic) - Position 1"
"Hallelujah - Club Mix","Happy Mondays","","0:00","Group 69 (era: Classic) - Position 2"
"All Out Attack","Johnny Marr","","0:02","Group 69 (era: Classic) - Position 3"
"Wild Flower","The Cult","","3:37","Group 70 (genre: Rock/Alternative) - Position 1"
"Don't Do Me Like That","Tom Petty and the Heartbreakers","","2:41","Group 70 (genre: Rock/Alternative) - Position 2"
"Lucky Man - 2012 Remaster","Emerson Lake & Palmer","","4:37","Group 70 (genre: Rock/Alternative) - Position 3"
"Ignite","The Damned","","4:52","Group 71 (genre: Punk) - Position 1"
"Hit the North - Part 1","The Fall","","4:01","Group 71 (genre: Punk) - Position 2"
"Spoilt Victorian Child","The Fall","","4:13","Group 71 (genre: Punk) - Position 3"
"Natural's Not In It","Gang Of Four","","3:06","Group 72 (pace: Low) - Position 1"
"Entering - Remastered","Soundgarden","","4:33","Group 72 (pace: Low) - Position 2"
"Mirror in the Bathroom - 2012 Remaster","The English Beat","","3:08","Group 72 (pace: Low) - Position 3"
"Lost in Music","The Fall","","3:50","Group 73 (genre: Punk) - Position 1"
"Interzone - 2019 Digital Master","Joy Division","","2:16","Group 73 (genre: Punk) - Position 2"
"Boys in the Better Land","Fontaines D.C.","","5:00","Group 73 (genre: Punk) - Position 3"
"One","Metallica","","7:27","Group 74 (genre: Metal) - Position 1"
"Talk Dirty To Me","Poison","","3:43","Group 74 (genre: Metal) - Position 2"
"Sabbra Cadabra - 2013 Remaster","Black Sabbath","","5:57","Group 74 (genre: Metal) - Position 3"
"Subdivisions","Rush","","5:34","Group 75 (genre: Rock/Alternative) - Position 1"
"Mary Jane's Last Dance","Tom Petty and the Heartbreakers","","4:33","Group 75 (genre: Rock/Alternative) - Position 2"
"A Certain Romance","Arctic Monkeys","","5:31","Group 75 (genre: Rock/Alternative) - Position 3"
"The Memory Remains","Metallica","","0:01","Group 76 (era: Classic) - Position 1"
"Regulate","Warren G","","0:01","Group 76 (era: Classic) - Position 2"
"Whole Lotta Love (feat. Chris Cornell)","Santana","","0:02","Group 76 (era: Classic) - Position 3"
"You Just Haven't Earned It Yet Baby","The Smiths","","3:33","Group 77 (genre: New Wave) - Position 1"
"Nothing Lasts Forever","Echo & the Bunnymen","","3:55","Group 77 (genre: New Wave) - Position 2"
"52 Girls","The B-52's","","3:36","Group 77 (genre: New Wave) - Position 3"
"L.A.","The Fall","","4:09","Group 78 (genre: Punk) - Position 1"
"Blister In The Sun","Violent Femmes","","2:25","Group 78 (genre: Punk) - Position 2"
"I Against I","Bad Brains","","2:50","Group 78 (genre: Punk) - Position 3"
"Angel","Massive Attack","","0:01","Group 79 (era: Classic) - Position 1"
"The Ghost Inside","Broken Bells","","0:00","Group 79 (era: Classic) - Position 2"
"Bruised Lung","Superchunk","","0:02","Group 79 (era: Classic) - Position 3"
